listing_date;title;company;location;work_type;link
18-Oct-24 03:30;IT Data Warehouse Engineer Assistant Manager;PT Dipo Star Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79594300
21-Oct-24 07:20;Governance, Risk, and Compliance Officer;PT ITPro Citra Indonesia;West Jakarta;Full time;https://www.jobstreet.co.id/job/79639827
23-Oct-24 02:49;IT PMO SUPPORT (PROJECT ADMIN);PT Synergy Network Solution;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79694852
23-Oct-24 09:06;IT Security (Red Team);Soedarpo Informatika;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79706731
23-Oct-24 11:12;Data Protection Officer (manajerial);PT Bintraco Dharma Tbk;Tangerang;Full time;https://www.jobstreet.co.id/job/79709285
22-Oct-24 10:27;Senior Solution Consultant;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79681292
23-Oct-24 02:49;Account Manager (IT Solutions);PT IT Group Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79694860
23-Oct-24 09:50;Risk Management;Private Advertiser;Tangerang;Full time;https://www.jobstreet.co.id/job/79708525
21-Oct-24 03:38;IT Project Management Officer;PT Akulaku Silvrr Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79632175
21-Oct-24 11:08;Operational Risk Management Officer;Bank of China (Hong Kong) Limited Jakarta Branch;Jakarta;Full time;https://www.jobstreet.co.id/job/79644715
23-Oct-24 08:58;IT SAP  MANAGER;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79706289
21-Oct-24 03:29;IT Team Leader - System (Contract);PT Net One Asia;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79631873
23-Oct-24 09:36;IT Helpdesk;Private Advertiser;Tangerang;Full time;https://www.jobstreet.co.id/job/79708129
21-Oct-24 06:21;IT Coordinator;OneSmile Aligners;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79637443
23-Oct-24 11:06;IT Executive;PT Progo Puncak Group;Tangerang;Full time;https://www.jobstreet.co.id/job/79709119
17-Oct-24 07:05;Analyst, Change Management;PT Bank DBS Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79580383
23-Oct-24 12:53;VOIP Network Engineer;PT Anabatic Technologies;South Tangerang;Full time;https://www.jobstreet.co.id/job/79710368
18-Oct-24 13:52;IT Project Manager;PT Intersolusi Teknologi Asia;Bandung;Full time;https://www.jobstreet.co.id/job/79608910
23-Oct-24 16:09;Operations Associate (Partner Education & Quality);PT. LALAMOVE LOGISTIK INDONESIA;South Jakarta;Full time;https://www.jobstreet.co.id/job/79712290
23-Oct-24 03:30;Solution Architech (Network Security);PT Digital Aplikasi Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79696573
17-Oct-24 11:10;Digital Security Engineer;PT. Itrust Data Teknologi;Tangerang;Full time;https://www.jobstreet.co.id/job/79575191
17-Oct-24 09:44;QA Manager;PT Selatox Bio Pharma;Cikarang;Full time;https://www.jobstreet.co.id/job/79578065
23-Oct-24 07:15;System Engineer;TREND NETWORK TECHNOLOGY SDN. BHD.;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79704264
17-Oct-24 11:05;Quality Assurance (QA);PT DIGITAL XCELERATION NUSANTARA;South Jakarta;Full time;https://www.jobstreet.co.id/job/79579390
17-Oct-24 03:34;System Engineer (Data Center);PT Nusantara Compnet Integrator;West Jakarta;Full time;https://www.jobstreet.co.id/job/79566763
22-Oct-24 09:42;Cyber Security Engineer - IT Consulting (A-112375);RGF HR Agent Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79680682
