listing_date;title;company;location;work_type;link
22-Oct-24 09:31;Senior Oracle Database Administrator (OCA);PT Sisindokom Lintasbuana;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79680259
18-Oct-24 07:24;IT Database Engineer;PT Avows Technologies;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79602092
21-Oct-24 02:03;Database Section Head (IT);Private Advertiser;West Jakarta;Full time;https://www.jobstreet.co.id/job/79628851
23-Oct-24 06:50;Fullstack Engineer (Python);Private Advertiser;South Jakarta;Full time;https://www.jobstreet.co.id/job/79703760
23-Oct-24 07:19;IT Programmer Staff;PT Turnaround Asset Indonesia;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79704451
23-Oct-24 03:43;System Administrator;PT Metrocom Global Solusi;Jakarta;Full time;https://www.jobstreet.co.id/job/79697318
23-Oct-24 07:57;Database & Business Intelligence;Private Advertiser;Tangerang;Full time;https://www.jobstreet.co.id/job/79705215
22-Oct-24 07:13;System Engineer;PT Mitra Mandiri Informatika;Jakarta;Full time;https://www.jobstreet.co.id/job/79676652
23-Oct-24 08:27;AR Planning & Control Staff;PT Mandiri Utama Finance;Jakarta;Full time;https://www.jobstreet.co.id/job/79705675
23-Oct-24 08:02;L2 Linux Engineer;PT Metrocom Global Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79705276
23-Oct-24 07:27;System Analyst;Private Advertiser;Tangerang;Full time;https://www.jobstreet.co.id/job/79704619
23-Oct-24 03:09;System Engineer;PT Karya Solusi Prima Sejahtera;South Jakarta;Full time;https://www.jobstreet.co.id/job/79695703
23-Oct-24 05:03;IT System Analyst (BA);PT Wahana Ottomitra Multiartha (WOM Finance), Tbk;North Jakarta;Full time;https://www.jobstreet.co.id/job/79699465
21-Oct-24 03:29;IT Team Leader - System (Contract);PT Net One Asia;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79631873
23-Oct-24 11:12;Data Protection Officer (manajerial);PT Bintraco Dharma Tbk;Tangerang;Full time;https://www.jobstreet.co.id/job/79709285
23-Oct-24 06:38;Data Center Technician 2-IT;PT Oracle Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79707392
18-Oct-24 03:30;IT Data Warehouse Engineer Assistant Manager;PT Dipo Star Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79594300
23-Oct-24 02:36;Data Engineer;PT Ako Media Asia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79694461
18-Oct-24 09:54;ERP  MANAGER;PT EASY BOSS INDONESIA;Jakarta;Full time;https://www.jobstreet.co.id/job/79606397
23-Oct-24 02:09;Data Science;PT Mowilex Indonesia;West Jakarta;Full time;https://www.jobstreet.co.id/job/79693727
23-Oct-24 02:45;Intern - Government Relation & Licensing Division (Automation Data);PT Cipta Kridatama;South Jakarta;Part time;https://www.jobstreet.co.id/job/79694692
23-Oct-24 03:56;IT DOCUMENTER;PT Knitto Tekstil Indonesia;Bandung;Full time;https://www.jobstreet.co.id/job/79697769
23-Oct-24 09:36;ERP Project Manager;PT Hashmicro Solusi Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79708233
23-Oct-24 03:53;System Storage Engineer;PT Graha Karya Informasi;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79697642
22-Oct-24 03:24;Data Engineer;Soedarpo Informatika;West Jakarta;Full time;https://www.jobstreet.co.id/job/79658272
