listing_date;title;company;location;work_type;link
21-Oct-24 03:29;IT Team Leader - System (Contract);PT Net One Asia;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79631873
23-Oct-24 06:04;IT Digital Transformation Department Head;PT. INTEGRA INDO LESTARI;Sidoarjo;Full time;https://www.jobstreet.co.id/job/79701112
21-Oct-24 06:21;IT Coordinator;OneSmile Aligners;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79637443
18-Oct-24 08:35;IT Development Head;PT Tancorp Abadi Nusantara;South Tangerang;Full time;https://www.jobstreet.co.id/job/79603646
23-Oct-24 08:58;IT SAP  MANAGER;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79706289
23-Oct-24 09:36;ERP Project Manager;PT Hashmicro Solusi Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79708233
18-Oct-24 03:30;IT Data Warehouse Engineer Assistant Manager;PT Dipo Star Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79594300
23-Oct-24 11:06;IT Executive;PT Progo Puncak Group;Tangerang;Full time;https://www.jobstreet.co.id/job/79709119
23-Oct-24 02:49;Account Manager (IT Solutions);PT IT Group Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79694860
18-Oct-24 13:52;IT Project Manager;PT Intersolusi Teknologi Asia;Bandung;Full time;https://www.jobstreet.co.id/job/79608910
22-Oct-24 04:11;IT Service Coordinator area Bandung;PT. Berca Hardayaperkasa;Bandung;Full time;https://www.jobstreet.co.id/job/79667816
23-Oct-24 04:05;IT IMPLEMENTATOR-HIS;PT Gracia Visi Pratama;Semarang;Full time;https://www.jobstreet.co.id/job/79698047
21-Oct-24 04:03;ORM Business Operation Control Section Head (IT Risk);PT Mandiri Utama Finance;South Jakarta;Full time;https://www.jobstreet.co.id/job/79633279
22-Oct-24 12:16;IT Project Manager (Infra & Application);PT Rsystems Ibizcs International;Jakarta;Full time;https://www.jobstreet.co.id/job/79682119
21-Oct-24 02:49;IT Business Analyst;PT. TALENTA TEKNOLOGI SUKSES GEMILANG;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79630287
21-Oct-24 09:07;IT Support Analyst;PT Mitr Blitar Manis;South Jakarta;Full time;https://www.jobstreet.co.id/job/79642405
23-Oct-24 06:38;Data Center Technician 2-IT;PT Oracle Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79707392
22-Oct-24 09:28;Infrastructure & Network Supervisor;PT Griya Miesejati (Bakmi GM);West Jakarta;Full time;https://www.jobstreet.co.id/job/79680114
22-Oct-24 23:50;Data Center Technician 3-IT;PT Oracle Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79696820
21-Oct-24 06:41;IT Project Manager;PT Bumi Amartha Teknologi Mandiri;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79638789
21-Oct-24 07:48;Tech Lead, Digital Venture;CP AXTRA PUBLIC COMPANY LIMITED;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79640475
17-Oct-24 07:27;IT Supervisor;Devis Jaya;West Jakarta;Full time;https://www.jobstreet.co.id/job/79574588
22-Oct-24 08:14;Sales Executive (IT Product);Private Advertiser;West Jakarta;Full time;https://www.jobstreet.co.id/job/79677860
23-Oct-24 08:30;Delivery Manager;General Electric International Operations Co.inc;Jakarta;Full time;https://www.jobstreet.co.id/job/79714282
23-Oct-24 05:03;IT System Analyst (BA);PT Wahana Ottomitra Multiartha (WOM Finance), Tbk;North Jakarta;Full time;https://www.jobstreet.co.id/job/79699465
17-Oct-24 06:24;Scrum Master;Alodokter;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79572038
18-Oct-24 09:06;IT Infrastructure;PT Hiba Utama;East Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79604655
